identifier,class,subclass,luminosity_class,full_class,recno,spt,effective_temperature_1,log_surface_gravity_1,metallicity_fe_h_1,visual_magnitude,effective_temperature_2,log_surface_gravity_2,metallicity_fe_h_2,radius,mass,luminosity,distance,lamost,date
19850119_J025942.96+011122.1,F,F0,,F0,2251,kA5hA8mA9,7569.0,3.86,0.22,12.872,7571.0,4.1632,0.222,1.82,1.76,9.80948,1171.02,J025942.96+011122.1,1985-01-19 10:44:00
19850119_J025947.35+020834.1,A,A6,IV,A6IV,2254,kA4hA9mA9,7124.0,4.187,-0.367,14.712,7137.0,3.8647,-0.378,2.44,1.59,13.91443,3164.3701,J025947.35+020834.1,1985-01-19 11:57:00
19850119_J030043.83+021812.4,A,A2,V,A2V,2273,kA3hA5mA7,,,,12.446,6234.0,4.3243,,1.254,1.21,2.13966,440.936,J030043.83+021812.4,1985-01-19 10:44:00
19850119_J030336.54+025459.5,A,A7,V,A7V,2332,kA3hA6mA7,7254.0,4.186,-0.467,12.935,7232.0,4.3071,-0.4705,1.48,1.62,5.39942,905.666,J030336.54+025459.5,1985-01-19 10:44:00
19861124_J025406.46+025537.7,A,A3,V,A3V,2151,kA2hA4mA7,,,,16.013,6383.0,4.3332,,1.277,1.28,2.43731,2151.96,J025406.46+025537.7,1986-11-24 15:16:00
19851023_J025506.03+033053.1,A,A3,IV,A3IV,2170,kA2hA8mA8,,,,13.68,7639.0,4.379,,1.428,1.78,6.25691,1307.1801,J025506.03+033053.1,1985-10-23 16:20:00
19821004_J031728.70+042733.1,A,A6,IV,A6IV,2626,kA1hA9mF2,,,,11.061,7275.0,4.0183,,2.076,1.64,10.88016,537.099,J031728.70+042733.1,1982-10-04 20:28:00
19850108_J024412.75+032719.1,A,A6,IV,A6IV,1963,kA2hA8mA7,,,,13.904,,,,,,,1737.0,J024412.75+032719.1,1985-01-08 12:32:00
19851023_J025238.06+043338.9,A,A6,IV,A6IV,2120,kA2hA4mA6,8371.0,4.472,-0.349,13.887,8335.0,4.4847,-0.364,1.36,2.06,8.04498,1664.79,J025238.06+043338.9,1985-10-23 16:20:00
19841225_J025213.87+053022.6,A,A9,V,A9V,2112,kA7hF3mF6,6859.0,4.207,0.446,,,,,,,,,J025213.87+053022.6,1984-12-25 13:11:00
19850108_J024848.07+052529.9,F,F0,,F0,2061,kA2hA5mA9,7400.0,3.981,0.204,12.573,7403.0,4.3046,0.204,1.516,1.69,6.2171,770.976,J024848.07+052529.9,1985-01-08 12:32:00
19851004_J024720.46+063751.4,A,A2,IV,A2IV,2033,kA1hA5mA4,,,,14.624,8445.0,4.4287,,1.465,2.1,9.83232,2189.8101,J024720.46+063751.4,1985-10-04 17:41:00
19851023_J030511.83+072728.4,A,A7,V,A7V,2367,kA2hA5mA9,,,,12.716,7450.0,4.125,0.111,1.875,1.71,9.75537,810.01,J030511.83+072728.4,1985-10-23 16:20:00
19860127_J032132.24+064043.5,F,F0,,F0,2691,kA6hF1mF1,7045.0,4.006,-0.277,11.917,7005.0,4.1745,-0.251,1.681,1.54,6.12855,477.694,J032132.24+064043.5,1986-01-27 12:31:00
19860127_J032731.70+072138.0,F,F0,,F0,2786,kA5hA7mA9,7608.0,3.896,0.324,10.65,7420.0,4.2053,,1.705,1.7,7.93468,369.055,J032731.70+072138.0,1986-01-27 12:31:00
19860127_J031607.86+070454.6,A,A7,II,A7II,2595,kA7hF0mF0,7131.0,4.211,-0.132,,,,,,,,,J031607.86+070454.6,1986-01-27 12:31:00
19811123_J033448.81+092317.9,A,A7,V,A7V,2920,kA3hA5mA8,7394.0,4.263,-0.428,12.956,7437.0,4.1838,-0.4436,1.747,1.7,8.41672,735.723,J033448.81+092317.9,1981-11-23 16:19:00
19860127_J032720.30+094928.2,A,A7,V,A7V,2780,kA6hF0mF0,,,,12.906,7233.0,,-0.308,1.508,,,745.917,J032720.30+094928.2,1986-01-27 12:31:00
19901218_J033116.52+103758.5,F,F0,,F0,2851,kA4hF1mF1,7214.0,4.169,-0.351,15.38,7081.0,3.6848,,2.983,1.57,20.14888,3756.5901,J033116.52+103758.5,1990-12-18 13:12:00
19860127_J031035.71+090253.4,A,A5,V,A5V,2476,kA1hA7mA9,,,,13.143,7397.0,4.2559,,1.603,1.69,6.93308,821.674,J031035.71+090253.4,1986-01-27 12:31:00
19860127_J031542.89+091020.1,A,A7,IV,A7IV,2587,kA8hF2mF2,7088.0,4.219,-0.195,,,,,,,,,J031542.89+091020.1,1986-01-27 12:31:00
19911111_J030908.39+105358.6,A,A1,,A1,2453,kA7hF4mF3,,,,13.598,9414.0,3.6379,,3.884,2.39,106.75336,3849.05,J030908.39+105358.6,1991-11-11 16:41:00
19821001_J031026.69+111625.8,A,A7,IV,A7IV,2473,kA6hA5mF0,,,,11.457,7233.0,,-0.124,1.685,,,343.659,J031026.69+111625.8,1982-10-01 20:16:00
19850131_J032728.67+104156.2,A,A7,V,A7V,2785,kA2hA8mA8,,,,11.241,7880.0,4.3079,,1.594,1.882,8.82177,374.396,J032728.67+104156.2,1985-01-31 10:48:00
19860113_J031914.76+130132.8,F,F0,,F0,2649,kA4hA7mA9,7489.0,4.08,-0.299,14.559,7488.0,4.4926,-0.3119,1.232,1.72,4.29701,949.126,J031914.76+130132.8,1986-01-13 12:01:00
19851012_J025630.52+095718.5,A,A6,IV,A6IV,2197,kA4hA9mA9,7115.0,4.265,-0.329,15.419,7115.0,4.2183,-0.33,1.619,1.58,6.0488,1948.65,J025630.52+095718.5,1985-10-12 17:16:00
19850117_J022019.36+101046.4,A,A7,V,A7V,1579,kA3hA5mA8,,,,13.399,7278.0,4.195,,1.694,1.64,7.25587,1238.03,J022019.36+101046.4,1985-01-17 10:42:00
19850117_J022756.30+111038.1,F,F0,,F0,1675,kA6hF0mF0,7076.0,4.116,-0.171,15.035,7076.0,4.288,-0.171,1.489,1.57,5.00954,1990.45,J022756.30+111038.1,1985-01-17 11:54:00
19851004_J024152.78+105010.2,F,F0,,F0,1910,kA7hF6mF6,6487.0,3.996,-0.515,13.93,6485.0,3.9166,-0.518,2.094,1.32,6.99034,1341.22,J024152.78+105010.2,1985-10-04 19:01:00
19851004_J023754.67+104732.8,A,A2,IV,A2IV,1829,kA1hA4mA3,,,,11.756,7876.0,3.8349,,2.746,1.88,26.13886,1025.26,J023754.67+104732.8,1985-10-04 19:01:00
19860929_J023705.14+114745.6,A,A3,IV,A3IV,1815,kA2hA3mA6,,,,16.597,6841.0,4.6518,,0.951,1.48,1.78537,3469.3899,J023705.14+114745.6,1986-09-29 18:30:00
