recno,Class,SubClass,Luminosity Class,SpT,Teff1,logg1,FeH1,Vmag,e_Vmag,Teff2,logg2,FeH2,Rad,Mass,Lum,Ca_K,H_lines,Metal_lines,created_date,last_updated_date
1,F,0,,kA7hF3mF2,7080.0,4.178,-0.148,10.907,0.008,7078.0,3.475,-0.151,3.797,1.57,32.60238,A7,F3,F2,2025-04-28 11:07:35.768959,2025-04-28 11:07:35.768959
2,A,6,IV,kA7hF0mF0,7404.0,4.069,0.031,10.41,0.005,7405.0,4.2137,0.032,1.684,1.691,7.68098,A7,F0,F0,2025-04-28 11:07:35.768959,2025-04-28 11:07:35.768959
3,F,0,,kA7hF1mF0,7330.0,4.102,-0.133,14.155,0.126,7331.0,4.3672,-0.133,1.398,1.66,5.08514,A7,F1,F0,2025-04-28 11:07:35.768959,2025-04-28 11:07:35.768959
4,A,7,V,kA5hA4mA9,7218.0,4.182,-0.3,13.497,0.08,7220.0,4.2537,-0.301,1.574,1.62,6.06511,A5,A4,A9,2025-04-28 11:07:35.768959,2025-04-28 11:07:35.768959
10,F,0,,kA6hA8mF0,7516.0,3.85,0.232,9.543,0.003,7530.0,3.871,0.235,2.534,1.74,18.59625,A6,A8,F0,2025-04-28 11:07:35.768959,2025-04-28 11:07:35.768959
12,F,0,,kA4hA9mF3,7150.0,3.841,0.402,12.626,0.046,7150.0,3.9059,0.402,2.327,1.59,12.7448,A4,A9,F3,2025-04-28 11:07:35.768959,2025-04-28 11:07:35.768959
15,F,0,,kA5hA7mF0,7131.0,3.974,0.008,11.452,0.014,7073.0,3.8514,-0.019,2.462,1.57,13.66421,A5,A7,F0,2025-04-28 11:07:35.768959,2025-04-28 11:07:35.768959
18,A,5,,kA7hF2mF2,8125.0,3.944,0.026,13.902,0.217,7500.0,4.2841,-0.2134,1.57,1.73,7.02865,A7,F2,F2,2025-04-28 11:07:35.768959,2025-04-28 11:07:35.768959
22,F,0,,kA9hF5mF5,6637.0,4.079,-0.308,13.109,0.069,6640.0,4.0677,-0.3254,1.812,1.4,5.75249,A9,F5,F5,2025-04-28 11:07:35.768959,2025-04-28 11:07:35.768959
23,A,7,IV,kA7hF0mF1,7242.0,4.1,-0.141,12.625,0.057,7247.0,4.1876,-0.138,1.703,1.63,7.20876,A7,F0,F1,2025-04-28 11:07:35.768959,2025-04-28 11:07:35.768959
28,F,0,,kA8hF1mF2,7215.0,4.051,0.015,11.934,0.02,7225.0,3.9034,0.017,2.356,1.62,13.6254,A8,F1,F2,2025-04-28 11:07:35.768959,2025-04-28 11:07:35.768959
31,F,0,,kA4hA7mF0,7292.0,3.766,0.342,13.65,0.114,7287.0,3.9759,0.341,2.187,1.65,12.14925,A4,A7,F0,2025-04-28 11:07:35.768959,2025-04-28 11:07:35.768959
32,A,7,V,kA3hA9mA9,7422.0,3.932,0.213,11.972,0.019,7419.0,4.2721,0.213,1.578,1.7,6.80035,A3,A9,A9,2025-04-28 11:07:35.768959,2025-04-28 11:07:35.768959
42,F,0,,kA7hF1mF0,7223.0,3.947,-0.036,11.758,0.025,7246.0,4.0328,-0.0474,2.036,1.63,10.29114,A7,F1,F0,2025-04-28 11:07:35.768959,2025-04-28 11:07:35.768959
