recno,subCl,SpT,Teff1,logg1,FeH1,Vmag,Teff2,logg2,FeH2,Rad,Mass,Lum
1,F0,kA7hF3mF2,7080,4.178,-0.148,10.907,7078,3.475,-0.151,3.797,1.57,32.60238
2,A6IV,kA7hF0mF0,7404,4.069,0.031,10.41,7405,4.2137,0.032,1.684,1.691,7.68098
3,F0,kA7hF1mF0,7330,4.102,-0.133,14.155,7331,4.3672,-0.133,1.398,1.66,5.08514
4,A7V,kA5hA4mA9,7218,4.182,-0.3,13.497,7220,4.2537,-0.301,1.574,1.62,6.06511
5,A7V,kA2hA8mA9,,,,12.552,7667,3.9027,,2.485,1.8,19.22473
6,A1IV,kA1hA2mA3,,,,12.677,7915,3.6621,,3.368,1.9,40.1118
7,A7V,kA4hA8mA9,,,,,,,,,,
8,A3IV,kA3hA8mA7,,,,13.114,7079,3.2688,-0.465,4.815,1.57,52.46422
9,F0,kA6hA9mF0,7500,3.9,0.185,11.148,7495,,0.181,2.564,,
10,F0,kA6hA8mF0,7516,3.85,0.232,9.543,7530,3.871,0.235,2.534,1.74,18.59625
11,A7V,kA5hA7mA9,,,,,,,,,,
12,F0,kA4hA9mF3,7150,3.841,0.402,12.626,7150,3.9059,0.402,2.327,1.59,12.7448
13,A2IV,kA1hA2mA3,,,,13.116,8763,4.4476,,1.467,2.2,11.43421
14,A7V,kA7hA9mF0,,,,,,,,,,
15,F0,kA5hA7mF0,7131,3.974,0.008,11.452,7073,3.8514,-0.019,2.462,1.57,13.66421
16,A1IV,kA1hA2mA3,,,,14.349,8620,3.996,,2.439,2.15,29.59432
17,A7V,kA7hA7mF0,7576,4.14,-0.069,12.998,7092,3.6263,,3.19,1.57,23.19723
18,A5,kA7hF2mF2,8125,3.944,0.026,13.902,7500,4.2841,-0.2134,1.57,1.73,7.02865
19,A5,kA7hF2mF2,9572,4.3,0.886,14.507,8038,4.3677,,1.514,1.95,8.62422
20,F0,kA7hF2mF2,7121,4.153,-0.178,14.419,6669,4.2009,,1.56,1.41,4.33861
21,A6IV,kA2hA4mA6,,,,11.294,7635,4.3289,,1.513,1.78,7.0069
22,F0,kA9hF5mF5,6637,4.079,-0.308,13.109,6640,4.0677,-0.3254,1.812,1.4,5.75249
23,A7IV,kA7hF0mF1,7242,4.1,-0.141,12.625,7247,4.1876,-0.138,1.703,1.63,7.20876
24,A5V,kA4hA6mA9,7985,4.099,-0.05,13.805,7983,,-0.053,,,
25,A7V,kA4hA7mF0,,,,10.333,7194,,,5.373,,
26,A7V,kA6hA9mA9,7630,3.983,-0.023,12.288,,,,,,
27,F0,kA7hF1mF1,7284,4.032,-0.054,14.292,6918,3.8634,,2.381,1.51,11.70222
28,F0,kA8hF1mF2,7215,4.051,0.015,11.934,7225,3.9034,0.017,2.356,1.62,13.6254
29,A6,kA2hA7mA6,,,,15.241,7463,4.1421,,1.839,1.71,9.44739
30,A7IV,kA0hA2mA3,,,,11.267,8892,4.6816,,1.131,2.24,7.20174
31,F0,kA4hA7mF0,7292,3.766,0.342,13.65,7287,3.9759,0.341,2.187,1.65,12.14925
32,A7V,kA3hA9mA9,7422,3.932,0.213,11.972,7419,4.2721,0.213,1.578,1.7,6.80035
33,A1IV,kA1hA3mA3,,,,13.554,7771,4.1085,,1.982,1.84,12.91084
34,A1IV,kA1hA5mA5,,,,14.996,8222,4.2593,,1.746,2.02,12.55204
35,A3IV,kA1hA2mA3,,,,13.963,8244,3.6676,,3.451,2.02,49.55256
36,A1IV,kA2hA3mA5,,,,14.173,8071,3.953,,2.447,1.96,22.89181
37,A7V,kA5hA7mA8,7392,4.137,-0.245,14.821,7207,4.1148,,1.847,1.62,8.28821
38,A2V,kA1hA3mA8,,,,15.277,5663,,,6.127,,
39,A1IV,kA1hA2mA4,,,,12.366,8193,3.8502,,2.783,2.0,31.43086
40,F0,kA5hF0mA9,7255,4.068,-0.144,12.261,6796,3.8789,,2.3,1.46,10.1685
41,A7V,kA2hA9mF0,,,,12.788,7438,4.1661,0.312,1.783,1.7,8.76667
42,F0,kA7hF1mF0,7223,3.947,-0.036,11.758,7246,4.0328,-0.0474,2.036,1.63,10.29114
43,A6IV,kA4hA6mA8,,,,11.362,7635,4.1204,,1.923,1.78,11.32352
44,A2,kA7hF2mF2,8224,3.879,-0.006,11.756,7556,3.7576,-0.213,2.896,1.75,24.62605
45,A7V,kA2hA6mA9,,,,14.491,7263,4.0146,,2.085,1.64,10.90227
46,A7V,kA5hA9mA8,,,,10.961,7277,4.0678,,1.961,1.64,9.71827
47,F0,kA6hF0mF0,7283,4.079,-0.216,13.423,7283,4.1844,-0.217,1.715,1.64,7.45385
48,F0,kA6hF6mF5,6716,4.178,-0.123,13.751,6720,4.3829,-0.114,1.274,1.43,2.98382
49,A3IV,kA1hA2mA3,,,,14.667,7453,3.7523,,2.88,1.71,23.05817
50,F0,kA6hA8mF0,7427,4.021,0.089,12.544,7428,4.4241,0.087,1.325,1.7,4.81475
51,F0,kA8hF4mF4,6707,3.988,-0.337,13.321,6751,3.9195,-0.3211,2.18,1.44,8.89295
52,A7,kA3hA5mA7,,,,14.97,6371,4.3671,,1.223,1.27,2.21998
53,A6IV,kA1hA6mA5,,,,15.329,7838,4.3784,,1.465,1.87,7.29559
54,A6,kA7hF2mF2,7241,4.101,-0.325,,,,,,,
55,A7V,kA4hA6mA8,7224,4.188,-0.335,12.34,7249,4.2875,,1.518,1.63,5.73546
56,A1IV,kA1hA2mA3,,,,11.804,8535,4.3502,,1.615,2.13,12.46653
57,F0,kA5hF0mA9,7394,3.909,0.004,13.091,7404,4.2504,0.002,1.614,1.69,7.04883
58,A6IV,kA1hA9mA9,,,,15.441,7309,4.3222,,1.468,1.65,5.53981
59,A7V,kA2hA9mA9,,,,15.458,7243,4.2948,,1.506,1.63,5.62106
60,A7V,kA6hF1mF0,,,,12.114,7418,,-0.134,1.844,,
