lamost,date,recno,full_class,spt,effective_temperature_1,log_surface_gravity_1,metallicity_fe_h_1,visual_magnitude,effective_temperature_2,log_surface_gravity_2,metallicity_fe_h_2,radius,mass,luminosity,distance
J025942.96+011122.1,474979440,2251,F0,kA5hA8mA9,7569.0,3.86,0.22,12.872,7571.0,4.1632,0.222,1.82,1.76,9.80948,1171.02
J025947.35+020834.1,474983820,2254,A6IV,kA4hA9mA9,7124.0,4.187,-0.367,14.712,7137.0,3.8647,-0.378,2.44,1.59,13.91443,3164.3701
J030043.83+021812.4,474979440,2273,A2V,kA3hA5mA7,,,,12.446,6234.0,4.3243,,1.254,1.21,2.13966,440.936
J030336.54+025459.5,474979440,2332,A7V,kA3hA6mA7,7254.0,4.186,-0.467,12.935,7232.0,4.3071,-0.4705,1.48,1.62,5.39942,905.666
J025406.46+025537.7,533229360,2151,A3V,kA2hA4mA7,,,,16.013,6383.0,4.3332,,1.277,1.28,2.43731,2151.96
J025506.03+033053.1,498932400,2170,A3IV,kA2hA8mA8,,,,13.68,7639.0,4.379,,1.428,1.78,6.25691,1307.1801
J031728.70+042733.1,402611280,2626,A6IV,kA1hA9mF2,,,,11.061,7275.0,4.0183,,2.076,1.64,10.88016,537.099
J024412.75+032719.1,474035520,1963,A6IV,kA2hA8mA7,,,,13.904,,,,,,,1737.0
J025238.06+043338.9,498932400,2120,A6IV,kA2hA4mA6,8371.0,4.472,-0.349,13.887,8335.0,4.4847,-0.364,1.36,2.06,8.04498,1664.79
J025213.87+053022.6,472828260,2112,A9V,kA7hF3mF6,6859.0,4.207,0.446,,,,,,,,
J024848.07+052529.9,474035520,2061,F0,kA2hA5mA9,7400.0,3.981,0.204,12.573,7403.0,4.3046,0.204,1.516,1.69,6.2171,770.976
J024720.46+063751.4,497295660,2033,A2IV,kA1hA5mA4,,,,14.624,8445.0,4.4287,,1.465,2.1,9.83232,2189.8101
J030511.83+072728.4,498932400,2367,A7V,kA2hA5mA9,,,,12.716,7450.0,4.125,0.111,1.875,1.71,9.75537,810.01
J032132.24+064043.5,507213060,2691,F0,kA6hF1mF1,7045.0,4.006,-0.277,11.917,7005.0,4.1745,-0.251,1.681,1.54,6.12855,477.694
J032731.70+072138.0,507213060,2786,F0,kA5hA7mA9,7608.0,3.896,0.324,10.65,7420.0,4.2053,,1.705,1.7,7.93468,369.055
J031607.86+070454.6,507213060,2595,A7II,kA7hF0mF0,7131.0,4.211,-0.132,,,,,,,,
J033448.81+092317.9,375380340,2920,A7V,kA3hA5mA8,7394.0,4.263,-0.428,12.956,7437.0,4.1838,-0.4436,1.747,1.7,8.41672,735.723
J032720.30+094928.2,507213060,2780,A7V,kA6hF0mF0,,,,12.906,7233.0,,-0.308,1.508,,,745.917
J033116.52+103758.5,661525920,2851,F0,kA4hF1mF1,7214.0,4.169,-0.351,15.38,7081.0,3.6848,,2.983,1.57,20.14888,3756.5901
J031035.71+090253.4,507213060,2476,A5V,kA1hA7mA9,,,,13.143,7397.0,4.2559,,1.603,1.69,6.93308,821.674
J031542.89+091020.1,507213060,2587,A7IV,kA8hF2mF2,7088.0,4.219,-0.195,,,,,,,,
J030908.39+105358.6,689877660,2453,A1,kA7hF4mF3,,,,13.598,9414.0,3.6379,,3.884,2.39,106.75336,3849.05
J031026.69+111625.8,402351360,2473,A7IV,kA6hA5mF0,,,,11.457,7233.0,,-0.124,1.685,,,343.659
J032728.67+104156.2,476016480,2785,A7V,kA2hA8mA8,,,,11.241,7880.0,4.3079,,1.594,1.882,8.82177,374.396
J031914.76+130132.8,506001660,2649,F0,kA4hA7mA9,7489.0,4.08,-0.299,14.559,7488.0,4.4926,-0.3119,1.232,1.72,4.29701,949.126
J025630.52+095718.5,497985360,2197,A6IV,kA4hA9mA9,7115.0,4.265,-0.329,15.419,7115.0,4.2183,-0.33,1.619,1.58,6.0488,1948.65
J022019.36+101046.4,474806520,1579,A7V,kA3hA5mA8,,,,13.399,7278.0,4.195,,1.694,1.64,7.25587,1238.03
J022756.30+111038.1,474810840,1675,F0,kA6hF0mF0,7076.0,4.116,-0.171,15.035,7076.0,4.288,-0.171,1.489,1.57,5.00954,1990.45
J024152.78+105010.2,497300460,1910,F0,kA7hF6mF6,6487.0,3.996,-0.515,13.93,6485.0,3.9166,-0.518,2.094,1.32,6.99034,1341.22
J023754.67+104732.8,497300460,1829,A2IV,kA1hA4mA3,,,,11.756,7876.0,3.8349,,2.746,1.88,26.13886,1025.26
J023705.14+114745.6,528402600,1815,A3IV,kA2hA3mA6,,,,16.597,6841.0,4.6518,,0.951,1.48,1.78537,3469.3899
J030134.29+124047.6,402350880,2289,A5V,kA3hA8mA8,7653.0,3.897,0.037,10.776,7653.0,3.952,0.037,2.341,1.79,16.94488,543.873
J031140.90+130243.0,402351180,2503,F0,kA4hF5mF7,6172.0,4.393,0.073,11.284,5438.0,4.1778,,1.314,0.948,1.35995,198.444
J031647.47+144920.5,505997220,2612,F0,kA4hA7mA9,7386.0,3.916,0.213,13.515,7388.0,3.7304,0.215,2.927,1.68,23.00087,2162.3899
J030636.34+135927.5,402351300,2394,A5V,kA2hA7mA7,,,,12.183,7810.0,4.0841,,2.044,1.85,14.00984,919.272
J031043.55+144514.5,562090140,2480,A7V,kA3hA5mA7,7358.0,4.264,-0.653,15.459,7404.0,4.2273,,1.657,1.69,7.43445,2814.3301
J031214.58+152748.3,506001660,2517,A6IV,kA2hA6mA5,,,,15.089,7837.0,4.246,,1.701,1.86,9.83814,2853.8201
J031444.55+152234.6,505997220,2572,F0,kA7hA9mF0,7505.0,3.959,0.118,12.708,7496.0,4.1095,0.115,1.92,1.73,10.48576,1018.28
J024931.31+132252.7,474719340,2074,A7V,kA5hF0mF0,,,,13.563,7111.0,3.495,,3.723,1.58,31.92504,2763.75
J024909.90+132343.4,528402600,2068,F0,kA2hA4mA7,,,,15.087,6266.0,4.7261,,0.793,1.22,0.87297,914.189
J030030.29+150603.4,475243020,2267,F0,kA8hF1mF3,7081.0,4.047,0.206,13.488,7085.0,3.8154,0.209,2.566,1.57,14.9445,1627.39
J031030.71+165427.7,692200620,2474,F0,kA7hF4mF5,6532.0,4.14,-0.35,14.865,6460.0,4.2425,,1.434,1.31,3.22438,1515.16
J030315.59+164855.1,475243020,2328,A6IV,kA3hA5mA7,,,,11.215,7962.0,3.6995,,3.243,1.92,38.0752,1051.71
J025952.96+172246.6,655753620,2258,F0,kA7hF2mF2,6352.0,4.185,-0.825,15.202,6255.0,4.1429,,1.552,1.22,3.32024,1893.73
J030051.08+181323.9,692205060,2274,F0,kA7hF3mF7,6605.0,4.24,-0.134,,,,,,,,
J025801.58+181303.2,692205060,2228,A5,kA7hF3mF7,,,,13.977,7736.0,4.5402,-0.344,1.199,1.82,4.64051,1057.27
J034730.58+112742.7,433537020,3290,F0,kA3hF2mF3,7179.0,4.11,0.324,11.513,7177.0,,0.323,1.895,,,374.715
J035241.31+120441.7,540384600,3450,A7V,kA7hF0mF0,,,,11.919,7131.0,3.745,,2.8,1.59,18.27048,864.231
J033510.55+121627.6,633178500,2930,F0,kA3hA6mA8,7308.0,4.057,-0.029,13.063,7063.0,4.029,,2.0,1.56,8.97053,700.54
J033738.11+122039.1,533832480,2999,A6IV,kA2hA4mA7,,,,15.108,7191.0,4.2085,,1.653,1.61,6.57981,1669.79
J034227.54+125323.5,633178500,3139,A5V,kA3hA7mF5,,,,11.695,7771.0,3.3559,,4.715,1.84,73.05198,1455.48
J034426.63+131440.4,440861940,3204,A1IV,kA1hA2mA4,,,,13.938,8129.0,4.2516,,1.744,1.98,11.96805,1572.62
J034324.21+131441.8,633178500,3173,F0,kA7hF0mF0,7283.0,3.936,0.032,11.766,7310.0,4.232,0.056,1.628,1.65,6.82287,455.135
J034205.19+131411.1,535469100,3128,F0,kA4hA7mF1,7367.0,4.039,-0.032,12.932,7003.0,4.1717,,1.686,1.54,6.16247,722.583
J034153.92+134029.4,533832480,3119,A6IV,kA2hA7mA7,,,,15.043,7280.0,3.952,,2.241,1.64,12.71062,2720.3301
J034447.03+141724.6,535469100,3212,A7V,kA3hA5mA7,,,,13.798,,,,,,,843.211
J035417.37+123653.0,559252200,3501,A6IV,kA2hA5mA5,,,,15.476,8048.0,4.3028,,1.632,1.95,10.06326,3375.73
J035549.68+125640.4,633091920,3545,F2,kA9hF8mF7,6018.0,4.162,-0.588,11.558,6078.0,4.3927,,1.123,1.137,1.55181,245.42
J035927.67+134346.1,602940660,3656,A1V,kA0hA1mA2,,,,,,,,,,,
J035421.81+132604.9,533832480,3504,A7V,kA5hA9mF0,7383.0,3.996,-0.251,14.386,7084.0,3.67,,3.034,1.57,20.88344,3013.1201
J035717.82+135850.5,466717860,3590,F0,kA2hA6mF0,7229.0,4.007,0.212,12.904,7231.0,4.1036,0.21,1.871,1.62,8.61908,874.449
J035721.56+143522.1,466717860,3593,A7V,kA3hA6mA8,7192.0,4.183,-0.273,12.999,7193.0,4.134,-0.272,1.801,1.61,7.81907,780.066
