Code,Ca_K,H_L,FeH,Teff1,logg1,Vmag,e_Vmag,Teff2,logg2,Mass
1,A7,F3,F2,7080.0,4.178,10.907,0.008,7078.0,3.475,1.57
2,A7,F0,F0,7404.0,4.069,10.41,0.005,7405.0,4.2137,1.691
3,A7,F1,F0,7330.0,4.102,14.155,0.126,7331.0,4.3672,1.66
4,A5,A4,A9,7218.0,4.182,13.497,0.08,7220.0,4.2537,1.62
5,A2,A8,A9,7365.64273877017,4.040176275621457,12.552,0.092,7667.0,3.9027,1.8
6,A1,A2,A3,7365.64273877017,4.040176275621457,12.677,0.08,7915.0,3.6621,1.9
7,A4,A8,A9,7365.64273877017,4.040176275621457,13.473989620584387,,0.10225564762320105,7242.688443087658,4.057514888791976
8,A3,A8,A7,7365.64273877017,4.040176275621457,13.114,0.092,7079.0,3.2688,1.57
9,A6,A9,F0,7500.0,3.9,11.148,0.009,7495.0,7242.688443087658,4.057514888791976
10,A6,A8,F0,7516.0,3.85,9.543,0.003,7530.0,3.871,1.74
11,A5,A7,A9,7365.64273877017,4.040176275621457,13.473989620584387,,0.10225564762320105,7242.688443087658,4.057514888791976
12,A4,A9,F3,7150.0,3.841,12.626,0.046,7150.0,3.9059,1.59
13,A1,A2,A3,7365.64273877017,4.040176275621457,13.116,0.103,8763.0,4.4476,2.2
14,A7,A9,F0,7365.64273877017,4.040176275621457,13.473989620584387,,0.10225564762320105,7242.688443087658,4.057514888791976
15,A5,A7,F0,7131.0,3.974,11.452,0.014,7073.0,3.8514,1.57
16,A1,A2,A3,7365.64273877017,4.040176275621457,14.349,0.114,8620.0,3.996,2.15
17,A7,A7,F0,7576.0,4.14,12.998,0.103,7092.0,3.6263,1.57
18,A7,F2,F2,8125.0,3.944,13.902,0.217,7500.0,4.2841,1.73
19,A7,F2,F2,9572.0,4.3,14.507,0.115,8038.0,4.3677,1.95
20,A7,F2,F2,7121.0,4.153,14.419,0.103,6669.0,4.2009,1.41
21,A2,A4,A6,7365.64273877017,4.040176275621457,11.294,0.011,7635.0,4.3289,1.78
22,A9,F5,F5,6637.0,4.079,13.109,0.069,6640.0,4.0677,1.4
23,A7,F0,F1,7242.0,4.1,12.625,0.057,7247.0,4.1876,1.63
24,A4,A6,A9,7985.0,4.099,13.805,0.149,7983.0,7242.688443087658,4.057514888791976
25,A4,A7,F0,7365.64273877017,4.040176275621457,10.333,0.006,7194.0,7242.688443087658,4.057514888791976
26,A6,A9,A9,7630.0,3.983,12.288,0.023,0.10225564762320105,7242.688443087658,4.057514888791976
27,A7,F1,F1,7284.0,4.032,14.292,0.137,6918.0,3.8634,1.51
28,A8,F1,F2,7215.0,4.051,11.934,0.02,7225.0,3.9034,1.62
29,A2,A7,A6,7365.64273877017,4.040176275621457,15.241,0.137,7463.0,4.1421,1.71
30,A0,A2,A3,7365.64273877017,4.040176275621457,11.267,0.014,8892.0,4.6816,2.24
31,A4,A7,F0,7292.0,3.766,13.65,0.114,7287.0,3.9759,1.65
32,A3,A9,A9,7422.0,3.932,11.972,0.019,7419.0,4.2721,1.7
33,A1,A3,A3,7365.64273877017,4.040176275621457,13.554,0.126,7771.0,4.1085,1.84
34,A1,A5,A5,7365.64273877017,4.040176275621457,14.996,0.115,8222.0,4.2593,2.02
35,A1,A2,A3,7365.64273877017,4.040176275621457,13.963,0.16,8244.0,3.6676,2.02
36,A2,A3,A5,7365.64273877017,4.040176275621457,14.173,0.069,8071.0,3.953,1.96
37,A5,A7,A8,7392.0,4.137,14.821,0.046,7207.0,4.1148,1.62
38,A1,A3,A8,7365.64273877017,4.040176275621457,15.277,0.103,5663.0,7242.688443087658,4.057514888791976
39,A1,A2,A4,7365.64273877017,4.040176275621457,12.366,0.034,8193.0,3.8502,2.0
40,A5,F0,A9,7255.0,4.068,12.261,0.069,6796.0,3.8789,1.46
41,A2,A9,F0,7365.64273877017,4.040176275621457,12.788,0.069,7438.0,4.1661,1.7
42,A7,F1,F0,7223.0,3.947,11.758,0.025,7246.0,4.0328,1.63
43,A4,A6,A8,7365.64273877017,4.040176275621457,11.362,0.012,7635.0,4.1204,1.78
44,A7,F2,F2,8224.0,3.879,11.756,0.025,7556.0,3.7576,1.75
45,A2,A6,A9,7365.64273877017,4.040176275621457,14.491,0.16,7263.0,4.0146,1.64
46,A5,A9,A8,7365.64273877017,4.040176275621457,10.961,0.009,7277.0,4.0678,1.64
47,A6,F0,F0,7283.0,4.079,13.423,0.069,7283.0,4.1844,1.64
48,A6,F6,F5,6716.0,4.178,13.751,0.092,6720.0,4.3829,1.43
49,A1,A2,A3,7365.64273877017,4.040176275621457,14.667,0.103,7453.0,3.7523,1.71
50,A6,A8,F0,7427.0,4.021,12.544,0.046,7428.0,4.4241,1.7
51,A8,F4,F4,6707.0,3.988,13.321,0.092,6751.0,3.9195,1.44
52,A3,A5,A7,7365.64273877017,4.040176275621457,14.97,0.069,6371.0,4.3671,1.27
53,A1,A6,A5,7365.64273877017,4.040176275621457,15.329,0.195,7838.0,4.3784,1.87
54,A7,F2,F2,7241.0,4.101,13.473989620584387,,0.10225564762320105,7242.688443087658,4.057514888791976
55,A4,A6,A8,7224.0,4.188,12.34,0.08,7249.0,4.2875,1.63
56,A1,A2,A3,7365.64273877017,4.040176275621457,11.804,0.02,8535.0,4.3502,2.13
57,A5,F0,A9,7394.0,3.909,13.091,0.114,7404.0,4.2504,1.69
58,A1,A9,A9,7365.64273877017,4.040176275621457,15.441,0.07,7309.0,4.3222,1.65
59,A2,A9,A9,7365.64273877017,4.040176275621457,15.458,0.092,7243.0,4.2948,1.63
60,A6,F1,F0,7365.64273877017,4.040176275621457,12.114,0.057,7418.0,7242.688443087658,4.057514888791976
61,A5,F1,F1,7222.0,3.926,14.773,0.092,6943.0,3.9917,1.52
62,A4,A6,A8,7365.64273877017,4.040176275621457,14.793,0.126,7304.0,4.293,1.65
63,A3,A5,A7,7296.0,4.227,14.99,0.126,7111.0,4.2377,1.58
64,A7,A9,F1,6780.0,4.177,14.289,0.114,6443.0,3.5982,1.3
65,A5,A7,A9,6637.0,4.184,11.586,0.018,6639.0,3.8627,1.4
66,A2,F5,F6,6637.0,4.495,13.827,0.046,6636.0,4.4247,1.39
67,A1,A7,A7,7365.64273877017,4.040176275621457,10.637,0.008,7724.0,4.2702,1.82
68,A2,A7,F2,7250.0,3.982,11.158,0.011,7251.0,3.8718,1.63
69,A3,A9,F3,7365.64273877017,4.040176275621457,12.488,0.034,8183.0,3.8014,2.0
70,A3,A6,A7,7365.64273877017,4.040176275621457,11.359,0.011,7563.0,3.9664,1.75
71,A6,F3,F4,7050.0,4.069,13.023,0.069,7074.0,7242.688443087658,4.057514888791976
72,A3,A6,A8,7314.0,3.979,13.807,0.126,7325.0,4.2432,1.66
73,A7,F2,F2,7478.0,4.059,11.181,0.012,7529.0,4.3702,1.74
74,A3,A6,A7,7365.64273877017,4.040176275621457,14.497,0.149,7511.0,4.4718,1.73
75,A1,A2,A3,7365.64273877017,4.040176275621457,12.472,0.027,8156.0,4.406,1.99
76,A5,A7,A9,7291.0,4.064,12.015,0.022,7312.0,4.2878,1.65
77,A6,F0,A9,7216.0,4.139,13.255,0.08,7205.0,4.1364,1.61
78,A6,A9,A9,7544.0,4.002,13.761,0.172,7510.0,4.2067,1.73
79,A6,F4,F3,7365.64273877017,4.040176275621457,14.133,0.137,6727.0,4.1801,1.43
80,A1,A2,A3,7365.64273877017,4.040176275621457,11.621,0.015,7790.0,3.991,1.85
81,A2,A7,A6,7365.64273877017,4.040176275621457,14.013,0.115,7804.0,4.2303,1.85
82,A7,F2,F2,7176.0,4.161,14.153,0.035,7041.0,4.3571,1.55
83,A2,A6,F0,7365.64273877017,4.040176275621457,15.079,0.081,7134.0,4.3536,1.59
84,A7,F2,F2,7517.0,4.009,11.304,0.011,7614.0,3.7454,1.77
85,A5,A8,F0,7318.0,4.005,13.426,0.103,7333.0,4.075,1.66
86,A2,A6,F0,7365.64273877017,4.040176275621457,12.998,0.069,7384.0,4.2288,1.68
87,A7,F2,F2,7325.0,3.882,13.473989620584387,,0.10225564762320105,7242.688443087658,4.057514888791976
88,A5,F0,F0,7365.0,4.209,14.25,0.137,7368.0,4.2187,1.68
89,A7,F1,F0,7392.0,4.157,14.208,0.16,7391.0,4.1344,1.69
90,A7,F1,F1,7262.0,3.975,13.473989620584387,,0.10225564762320105,7242.688443087658,4.057514888791976
91,A1,A3,A5,7365.64273877017,4.040176275621457,12.911,0.069,7416.0,3.6899,1.69
92,A7,F1,F1,7209.0,4.059,14.136,0.172,7193.0,4.2112,1.61
93,A3,F0,F1,7308.0,3.907,13.473989620584387,,0.10225564762320105,7242.688443087658,4.057514888791976
94,A1,A7,A8,7365.64273877017,4.040176275621457,16.139,0.072,7748.0,4.6319,1.83
95,A5,F1,F0,7277.0,4.076,13.909,0.092,7220.0,4.1256,1.62
96,A8,F3,F2,6920.0,4.157,12.34,0.029,6922.0,3.8201,1.51
97,A7,F2,F2,8810.0,4.365,11.271,0.012,0.10225564762320105,7242.688443087658,4.057514888791976
98,A2,A7,A7,8187.0,3.96,12.239,0.092,8186.0,4.2212,2.0
99,A4,A7,A9,7272.0,4.241,14.859,0.206,7066.0,4.2364,1.56
100,A7,F2,F3,9979.0,3.768,12.674,0.103,8847.0,4.4542,2.23
101,A7,F2,F0,6733.0,4.226,13.662,0.069,6731.0,7242.688443087658,4.057514888791976
102,A7,A9,F0,7427.0,3.973,12.092,0.057,7420.0,3.9019,1.7
103,A7,F2,F3,6009.0,4.4,12.303,0.046,6039.0,4.2052,1.12
104,A4,F0,A9,7362.0,4.239,15.277,0.104,7531.0,4.1861,1.74
105,A8,F2,F2,7017.0,4.217,12.21,0.08,7013.0,4.1357,1.54
106,A2,A4,A7,6372.0,4.184,13.203,0.114,6386.0,4.2387,1.28
