recno,subCl,SpT,Teff1,e_Teff1,logg1,e_logg1,FeH1,e_FeH1,Vmag,e_Vmag,Teff2,s_Teff2,logg2,s_logg2,FeH2,e_FeH2,Rad,s_Rad,Mass,s_Mass,Lum,s_Lum
1,F0,kA7hF3mF2,7080,24,4.178,0.04,-0.148,0.022,10.907,0.008,7078,110,3.475,0.2626,-0.151,0.022,3.797,1.083,1.57,0.275,32.60238,17.91255
2,A6IV,kA7hF0mF0,7404,37,4.069,0.061,0.031,0.034,10.41,0.005,7405,95,4.2137,0.0826,0.032,0.034,1.684,0.057,1.691,0.293,7.68098,0.36626
3,F0,kA7hF1mF0,7330,17,4.102,0.028,-0.133,0.015,14.155,0.126,7331,17,4.3672,,-0.133,0.016,1.398,,1.66,,5.08514,
4,A7V,kA5hA4mA9,7218,42,4.182,0.07,-0.3,0.041,13.497,0.08,7220,44,4.2537,,-0.301,0.043,1.574,,1.62,,6.06511,
5,A7V,kA2hA8mA9,,,,,,,12.552,0.092,7667,134,3.9027,0.102,,,2.485,0.188,1.8,0.293,19.22473,2.73616
6,A1IV,kA1hA2mA3,,,,,,,12.677,0.08,7915,138,3.6621,0.0857,,,3.368,0.214,1.9,0.281,40.1118,5.32899
7,A7V,kA4hA8mA9,,,,,,,,,,,,,,,,,,,,
8,A3IV,kA3hA8mA7,,,,,,,13.114,0.092,7079,113,3.2688,0.1191,-0.465,0.053,4.815,0.516,1.57,0.259,52.46422,11.04058
9,F0,kA6hA9mF0,7500,12,3.9,0.02,0.185,0.011,11.148,0.009,7495,,,,0.181,0.011,2.564,,,,,
10,F0,kA6hA8mF0,7516,15,3.85,0.021,0.232,0.012,9.543,0.003,7530,112,3.871,0.0805,0.235,0.012,2.534,0.104,1.74,0.279,18.59625,1.15082
11,A7V,kA5hA7mA9,,,,,,,,,,,,,,,,,,,,
12,F0,kA4hA9mF3,7150,33,3.841,0.055,0.402,0.031,12.626,0.046,7150,99,3.9059,0.0885,0.402,0.03,2.327,0.13,1.59,0.265,12.7448,1.28455
13,A2IV,kA1hA2mA3,,,,,,,13.116,0.103,8763,142,4.4476,0.0839,,,1.467,0.092,2.2,0.303,11.43421,1.40726
14,A7V,kA7hA9mF0,,,,,,,,,,,,,,,,,,,,
15,F0,kA5hA7mF0,7131,24,3.974,0.033,0.008,0.019,11.452,0.014,7073,103,3.8514,0.0878,-0.019,0.033,2.462,0.125,1.57,0.264,13.66421,1.15052
16,A1IV,kA1hA2mA3,,,,,,,14.349,0.114,8620,123,3.996,,,,2.439,,2.15,,29.59432,
17,A7V,kA7hA7mF0,7576,21,4.14,0.035,-0.069,0.02,12.998,0.103,7092,130,3.6263,0.0966,,,3.19,0.229,1.57,0.254,23.19723,3.2238
18,A5,kA7hF2mF2,8125,28,3.944,0.038,0.026,0.022,13.902,0.217,7500,71,4.2841,,-0.2134,0.0847,1.57,,1.73,,7.02865,
19,A5,kA7hF2mF2,9572,58,4.3,0.081,0.886,0.048,14.507,0.115,8038,122,4.3677,,,,1.514,,1.95,,8.62422,
20,F0,kA7hF2mF2,7121,31,4.153,0.051,-0.178,0.029,14.419,0.103,6669,123,4.2009,,,,1.56,,1.41,,4.33861,
21,A6IV,kA2hA4mA6,,,,,,,11.294,0.011,7635,130,4.3289,0.0831,,,1.513,0.064,1.78,0.286,7.0069,0.4388
22,F0,kA9hF5mF5,6637,52,4.079,0.086,-0.308,0.05,13.109,0.069,6640,136,4.0677,0.0985,-0.3254,0.0287,1.812,0.097,1.4,0.242,5.75249,0.37241
23,A7IV,kA7hF0mF1,7242,34,4.1,0.056,-0.141,0.032,12.625,0.057,7247,102,4.1876,0.0845,-0.138,0.033,1.703,0.084,1.63,0.269,7.20876,0.61311
24,A5V,kA4hA6mA9,7985,38,4.099,0.063,-0.05,0.036,13.805,0.149,7983,38,,,-0.053,0.036,,,,,,
25,A7V,kA4hA7mF0,,,,,,,10.333,0.006,7194,185,,,,,5.373,,,,,
26,A7V,kA6hA9mA9,7630,60,3.983,0.099,-0.023,0.058,12.288,0.023,,,,,,,,,,,,
